Origination Date,DTI,FICO,Number of Loans,color,greenDTI,redDTI
2017-01-01,4,785,11,#D33F6A,#C8E8D4,#FAD6B8
2017-01-01,4,790,8,#D33F6A,#C8E8D4,#FAD6B8
2017-01-01,4,795,9,#D33F6A,#C8E8D4,#FAD6B8
2017-01-01,6,765,10,#D33F6A,#BEE2CE,#FAD1B1
2017-01-01,8,715,10,#D33F6A,#B4DCC7,#F9CDAB
2017-01-01,8,720,7,#D33F6A,#B4DCC7,#F9CDAB
2017-01-01,8,730,8,#D33F6A,#B4DCC7,#F9CDAB
2017-01-01,8,735,13,#D33F6A,#B4DCC7,#F9CDAB
2017-01-01,8,755,10,#D33F6A,#B4DCC7,#F9CDAB
2017-01-01,8,765,9,#D33F6A,#B4DCC7,#F9CDAB
2017-01-01,8,770,19,#D33F6A,#B4DCC7,#F9CDAB
2017-01-01,8,775,19,#D33F6A,#B4DCC7,#F9CDAB
2017-01-01,8,780,25,#D44368,#B4DCC7,#F9CDAB
2017-01-01,8,785,21,#D44368,#B4DCC7,#F9CDAB
2017-01-01,8,790,38,#D54766,#B4DCC7,#F9CDAB
2017-01-01,8,795,33,#D44368,#B4DCC7,#F9CDAB
2017-01-01,8,800,34,#D44368,#B4DCC7,#F9CDAB
2017-01-01,8,805,35,#D54766,#B4DCC7,#F9CDAB
2017-01-01,8,810,41,#D54766,#B4DCC7,#F9CDAB
2017-01-01,8,815,12,#D33F6A,#B4DCC7,#F9CDAB
2017-01-01,8,820,8,#D33F6A,#B4DCC7,#F9CDAB
2017-01-01,10,760,9,#D33F6A,#AAD5C1,#F9C8A4
2017-01-01,10,765,12,#D33F6A,#AAD5C1,#F9C8A4
2017-01-01,10,775,12,#D33F6A,#AAD5C1,#F9C8A4
2017-01-01,10,780,11,#D33F6A,#AAD5C1,#F9C8A4
2017-01-01,10,785,16,#D33F6A,#AAD5C1,#F9C8A4
2017-01-01,10,790,21,#D44368,#AAD5C1,#F9C8A4
2017-01-01,10,795,14,#D33F6A,#AAD5C1,#F9C8A4
2017-01-01,10,800,26,#D44368,#AAD5C1,#F9C8A4
2017-01-01,10,805,14,#D33F6A,#AAD5C1,#F9C8A4
2017-01-01,10,810,21,#D44368,#AAD5C1,#F9C8A4
2017-01-01,10,815,16,#D33F6A,#AAD5C1,#F9C8A4
2017-01-01,10,820,7,#D33F6A,#AAD5C1,#F9C8A4
2017-01-01,12,665,7,#D33F6A,#A1CFBB,#F9C39D
2017-01-01,12,670,10,#D33F6A,#A1CFBB,#F9C39D
2017-01-01,12,685,11,#D33F6A,#A1CFBB,#F9C39D
2017-01-01,12,690,14,#D33F6A,#A1CFBB,#F9C39D
2017-01-01,12,695,9,#D33F6A,#A1CFBB,#F9C39D
2017-01-01,12,700,17,#D33F6A,#A1CFBB,#F9C39D
2017-01-01,12,705,23,#D44368,#A1CFBB,#F9C39D
2017-01-01,12,710,24,#D44368,#A1CFBB,#F9C39D
2017-01-01,12,715,18,#D33F6A,#A1CFBB,#F9C39D
2017-01-01,12,720,15,#D33F6A,#A1CFBB,#F9C39D
2017-01-01,12,725,27,#D44368,#A1CFBB,#F9C39D
2017-01-01,12,730,24,#D44368,#A1CFBB,#F9C39D
2017-01-01,12,735,26,#D44368,#A1CFBB,#F9C39D
2017-01-01,12,740,24,#D44368,#A1CFBB,#F9C39D
2017-01-01,12,745,33,#D44368,#A1CFBB,#F9C39D
2017-01-01,12,750,23,#D44368,#A1CFBB,#F9C39D
2017-01-01,12,755,31,#D44368,#A1CFBB,#F9C39D
2017-01-01,12,760,34,#D44368,#A1CFBB,#F9C39D
2017-01-01,12,765,57,#D64A65,#A1CFBB,#F9C39D
2017-01-01,12,770,44,#D54766,#A1CFBB,#F9C39D
2017-01-01,12,775,55,#D64A65,#A1CFBB,#F9C39D
2017-01-01,12,780,72,#D74D63,#A1CFBB,#F9C39D
2017-01-01,12,785,83,#D85161,#A1CFBB,#F9C39D
2017-01-01,12,790,114,#DA575D,#A1CFBB,#F9C39D
2017-01-01,12,795,85,#D85161,#A1CFBB,#F9C39D
2017-01-01,12,800,123,#DB5A5B,#A1CFBB,#F9C39D
2017-01-01,12,805,122,#DB5A5B,#A1CFBB,#F9C39D
2017-01-01,12,810,127,#DB5A5B,#A1CFBB,#F9C39D
2017-01-01,12,815,69,#D74D63,#A1CFBB,#F9C39D
2017-01-01,12,820,21,#D44368,#A1CFBB,#F9C39D
2017-01-01,12,825,10,#D33F6A,#A1CFBB,#F9C39D
2017-01-01,14,690,7,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,695,7,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,700,12,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,705,11,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,715,11,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,720,9,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,725,11,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,730,14,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,735,10,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,740,16,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,745,13,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,750,17,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,755,13,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,760,25,#D44368,#98C9B6,#F9BE97
2017-01-01,14,765,25,#D44368,#98C9B6,#F9BE97
2017-01-01,14,770,31,#D44368,#98C9B6,#F9BE97
2017-01-01,14,775,39,#D54766,#98C9B6,#F9BE97
2017-01-01,14,780,51,#D64A65,#98C9B6,#F9BE97
2017-01-01,14,785,46,#D54766,#98C9B6,#F9BE97
2017-01-01,14,790,61,#D64A65,#98C9B6,#F9BE97
2017-01-01,14,795,57,#D64A65,#98C9B6,#F9BE97
2017-01-01,14,800,79,#D85161,#98C9B6,#F9BE97
2017-01-01,14,805,60,#D64A65,#98C9B6,#F9BE97
2017-01-01,14,810,72,#D74D63,#98C9B6,#F9BE97
2017-01-01,14,815,35,#D54766,#98C9B6,#F9BE97
2017-01-01,14,820,7,#D33F6A,#98C9B6,#F9BE97
2017-01-01,14,825,7,#D33F6A,#98C9B6,#F9BE97
2017-01-01,16,625,7,#D33F6A,#8EC3B0,#F8B990
2017-01-01,16,630,13,#D33F6A,#8EC3B0,#F8B990
2017-01-01,16,635,9,#D33F6A,#8EC3B0,#F8B990
2017-01-01,16,640,14,#D33F6A,#8EC3B0,#F8B990
2017-01-01,16,645,11,#D33F6A,#8EC3B0,#F8B990
2017-01-01,16,650,20,#D33F6A,#8EC3B0,#F8B990
2017-01-01,16,655,13,#D33F6A,#8EC3B0,#F8B990
2017-01-01,16,660,13,#D33F6A,#8EC3B0,#F8B990
2017-01-01,16,665,21,#D44368,#8EC3B0,#F8B990
2017-01-01,16,670,28,#D44368,#8EC3B0,#F8B990
2017-01-01,16,675,21,#D44368,#8EC3B0,#F8B990
2017-01-01,16,680,25,#D44368,#8EC3B0,#F8B990
2017-01-01,16,685,31,#D44368,#8EC3B0,#F8B990
2017-01-01,16,690,44,#D54766,#8EC3B0,#F8B990
2017-01-01,16,695,44,#D54766,#8EC3B0,#F8B990
2017-01-01,16,700,39,#D54766,#8EC3B0,#F8B990
2017-01-01,16,705,46,#D54766,#8EC3B0,#F8B990
2017-01-01,16,710,56,#D64A65,#8EC3B0,#F8B990
2017-01-01,16,715,40,#D54766,#8EC3B0,#F8B990
2017-01-01,16,720,62,#D74D63,#8EC3B0,#F8B990
2017-01-01,16,725,76,#D85161,#8EC3B0,#F8B990
2017-01-01,16,730,65,#D74D63,#8EC3B0,#F8B990
2017-01-01,16,735,59,#D64A65,#8EC3B0,#F8B990
2017-01-01,16,740,55,#D64A65,#8EC3B0,#F8B990
2017-01-01,16,745,78,#D85161,#8EC3B0,#F8B990
2017-01-01,16,750,85,#D85161,#8EC3B0,#F8B990
2017-01-01,16,755,92,#D9545F,#8EC3B0,#F8B990
2017-01-01,16,760,90,#D9545F,#8EC3B0,#F8B990
2017-01-01,16,765,111,#DA575D,#8EC3B0,#F8B990
2017-01-01,16,770,140,#DC5D59,#8EC3B0,#F8B990
2017-01-01,16,775,135,#DC5D59,#8EC3B0,#F8B990
2017-01-01,16,780,165,#DE6355,#8EC3B0,#F8B990
2017-01-01,16,785,201,#E06C4F,#8EC3B0,#F8B990
2017-01-01,16,790,260,#E37846,#8EC3B0,#F8B990
2017-01-01,16,795,268,#E37846,#8EC3B0,#F8B990
2017-01-01,16,800,303,#E5803F,#8EC3B0,#F8B990
2017-01-01,16,805,274,#E47A44,#8EC3B0,#F8B990
2017-01-01,16,810,293,#E57D42,#8EC3B0,#F8B990
2017-01-01,16,815,159,#DE6355,#8EC3B0,#F8B990
2017-01-01,16,820,43,#D54766,#8EC3B0,#F8B990
2017-01-01,16,825,14,#D33F6A,#8EC3B0,#F8B990
2017-01-01,18,640,10,#D33F6A,#85BDAB,#F8B489
2017-01-01,18,665,14,#D33F6A,#85BDAB,#F8B489
2017-01-01,18,670,7,#D33F6A,#85BDAB,#F8B489
2017-01-01,18,675,12,#D33F6A,#85BDAB,#F8B489
2017-01-01,18,680,14,#D33F6A,#85BDAB,#F8B489
2017-01-01,18,685,12,#D33F6A,#85BDAB,#F8B489
2017-01-01,18,690,12,#D33F6A,#85BDAB,#F8B489
2017-01-01,18,695,17,#D33F6A,#85BDAB,#F8B489
2017-01-01,18,700,30,#D44368,#85BDAB,#F8B489
2017-01-01,18,705,25,#D44368,#85BDAB,#F8B489
2017-01-01,18,710,18,#D33F6A,#85BDAB,#F8B489
2017-01-01,18,715,31,#D44368,#85BDAB,#F8B489
2017-01-01,18,720,20,#D33F6A,#85BDAB,#F8B489
2017-01-01,18,725,31,#D44368,#85BDAB,#F8B489
2017-01-01,18,730,32,#D44368,#85BDAB,#F8B489
2017-01-01,18,735,36,#D54766,#85BDAB,#F8B489
2017-01-01,18,740,25,#D44368,#85BDAB,#F8B489
2017-01-01,18,745,25,#D44368,#85BDAB,#F8B489
2017-01-01,18,750,28,#D44368,#85BDAB,#F8B489
2017-01-01,18,755,38,#D54766,#85BDAB,#F8B489
2017-01-01,18,760,33,#D44368,#85BDAB,#F8B489
2017-01-01,18,765,55,#D64A65,#85BDAB,#F8B489
2017-01-01,18,770,64,#D74D63,#85BDAB,#F8B489
2017-01-01,18,775,77,#D85161,#85BDAB,#F8B489
2017-01-01,18,780,86,#D85161,#85BDAB,#F8B489
2017-01-01,18,785,91,#D9545F,#85BDAB,#F8B489
2017-01-01,18,790,113,#DA575D,#85BDAB,#F8B489
2017-01-01,18,795,134,#DC5D59,#85BDAB,#F8B489
2017-01-01,18,800,139,#DC5D59,#85BDAB,#F8B489
2017-01-01,18,805,120,#DB5A5B,#85BDAB,#F8B489
2017-01-01,18,810,123,#DB5A5B,#85BDAB,#F8B489
2017-01-01,18,815,82,#D85161,#85BDAB,#F8B489
2017-01-01,18,820,22,#D44368,#85BDAB,#F8B489
2017-01-01,18,825,7,#D33F6A,#85BDAB,#F8B489
2017-01-01,20,625,12,#D33F6A,#7BB7A6,#F7AE83
2017-01-01,20,630,22,#D44368,#7BB7A6,#F7AE83
2017-01-01,20,635,25,#D44368,#7BB7A6,#F7AE83
2017-01-01,20,640,24,#D44368,#7BB7A6,#F7AE83
2017-01-01,20,645,32,#D44368,#7BB7A6,#F7AE83
2017-01-01,20,650,24,#D44368,#7BB7A6,#F7AE83
2017-01-01,20,655,32,#D44368,#7BB7A6,#F7AE83
2017-01-01,20,660,36,#D54766,#7BB7A6,#F7AE83
2017-01-01,20,665,47,#D54766,#7BB7A6,#F7AE83
2017-01-01,20,670,55,#D64A65,#7BB7A6,#F7AE83
2017-01-01,20,675,46,#D54766,#7BB7A6,#F7AE83
2017-01-01,20,680,51,#D64A65,#7BB7A6,#F7AE83
2017-01-01,20,685,73,#D74D63,#7BB7A6,#F7AE83
2017-01-01,20,690,65,#D74D63,#7BB7A6,#F7AE83
2017-01-01,20,695,68,#D74D63,#7BB7A6,#F7AE83
2017-01-01,20,700,99,#D9545F,#7BB7A6,#F7AE83
2017-01-01,20,705,94,#D9545F,#7BB7A6,#F7AE83
2017-01-01,20,710,97,#D9545F,#7BB7A6,#F7AE83
2017-01-01,20,715,102,#D9545F,#7BB7A6,#F7AE83
2017-01-01,20,720,105,#DA575D,#7BB7A6,#F7AE83
2017-01-01,20,725,141,#DC5D59,#7BB7A6,#F7AE83
2017-01-01,20,730,108,#DA575D,#7BB7A6,#F7AE83
2017-01-01,20,735,114,#DA575D,#7BB7A6,#F7AE83
2017-01-01,20,740,127,#DB5A5B,#7BB7A6,#F7AE83
2017-01-01,20,745,138,#DC5D59,#7BB7A6,#F7AE83
2017-01-01,20,750,163,#DE6355,#7BB7A6,#F7AE83
2017-01-01,20,755,185,#DF6653,#7BB7A6,#F7AE83
2017-01-01,20,760,195,#E06951,#7BB7A6,#F7AE83
2017-01-01,20,765,212,#E06C4F,#7BB7A6,#F7AE83
2017-01-01,20,770,221,#E16F4D,#7BB7A6,#F7AE83
2017-01-01,20,775,268,#E37846,#7BB7A6,#F7AE83
2017-01-01,20,780,340,#E78839,#7BB7A6,#F7AE83
2017-01-01,20,785,373,#E88E34,#7BB7A6,#F7AE83
2017-01-01,20,790,410,#E9962E,#7BB7A6,#F7AE83
2017-01-01,20,795,435,#E99C2B,#7BB7A6,#F7AE83
2017-01-01,20,800,534,#EAAF29,#7BB7A6,#F7AE83
